name,chembl_id,chembl_max_phase,indication_class,molecular_weight,logP,PSA,H_donors,H_acceptors,rotatable_bonds,SMILES,smiles_source,source,sources,ingredient,earliest_patent_expiry,earliest_exclusivity_date,ema_approved,pmda_approved,nosa_candidate,pubchem_cid,vapor_pressure_mmhg,vapor_pressure_raw,melting_point_c,melting_point_raw,boiling_point_c,boiling_point_raw
GATIFLOXACIN,CHEMBL31,4.0,,375.40,1.98,83.80,2.0,6.0,4.0,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl,chembl,chembl,GATIFLOXACIN,,,False,False,False,5379.0,,,182.0,182-185 °C,,
LABETALOL,CHEMBL429,4.0,,328.41,2.14,95.58,4.0,4.0,8.0,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,chembl,chembl,chembl,LABETALOL HYDROCHLORIDE,,,False,False,False,3869.0,,,195.0,195 - 196 °C,,
MOXIFLOXACIN,CHEMBL32,4.0,,401.44,2.37,83.80,2.0,6.0,4.0,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl,chembl,chembl,MOXIFLOXACIN HYDROCHLORIDE,2029-05-29,,False,False,False,152946.0,,,238.0,238-242 °C,,
LEVOFLOXACIN ANHYDROUS,CHEMBL33,4.0,,361.37,1.54,75.01,1.0,6.0,2.0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,chembl,chembl,chembl,,,,False,False,False,149096.0,,,225.0,225-227C,,
GEMIFLOXACIN,CHEMBL430,4.0,,389.39,0.97,123.04,2.0,8.0,5.0,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,chembl,chembl,chembl,GEMIFLOXACIN MESYLATE,,,False,False,False,9571107.0,,,235.0,235-237 °C,,
SPIRAPRIL,CHEMBL431,4.0,,466.63,2.39,95.94,2.0,7.0,9.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,chembl,chembl,chembl,SPIRAPRIL HYDROCHLORIDE,,,False,False,False,5311447.0,,,,,,
VALPROATE SODIUM,CHEMBL433,4.0,,166.20,2.29,37.30,1.0,1.0,5.0,CCCC(CCC)C(=O)[O-].[Na+],chembl,chembl,chembl,VALPROATE SODIUM,,,False,False,False,16760703.0,,,,,,
ISOPROTERENOL,CHEMBL434,4.0,,211.26,1.13,72.72,4.0,4.0,4.0,CC(C)NCC(O)c1ccc(O)c(O)c1,chembl,chembl,chembl,ISOPROTERENOL HYDROCHLORIDE,,,False,False,False,3779.0,,,170.5,170.5 °C,,
HYDROCHLOROTHIAZIDE,CHEMBL435,4.0,,297.75,-0.35,118.36,3.0,5.0,1.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,chembl,chembl,chembl,HYDROCHLOROTHIAZIDE,2028-07-13,,False,False,False,3639.0,,,272.77777777777777,"523 to 527 °F (NTP, 1992)",,
FUROSEMIDE,CHEMBL35,4.0,,330.75,1.89,122.63,3.0,5.0,5.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,chembl,chembl,chembl,FUROSEMIDE,2034-04-03,,False,False,False,3440.0,,,206.11111111111111,"403 °F (decomposes) (NTP, 1992)",,
PYRIMETHAMINE,CHEMBL36,4.0,,248.72,2.52,77.82,2.0,4.0,2.0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,chembl,chembl,chembl,PYRIMETHAMINE,,,False,False,False,4993.0,,,232.77777777777777,"451 to 453 °F (capillary) (NTP, 1992)",,
TOLRESTAT,CHEMBL436,4.0,,357.35,3.56,49.77,1.0,3.0,4.0,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,chembl,chembl,chembl,,,,False,False,False,53359.0,,,,,,
SULFATHIAZOLE,CHEMBL437,4.0,,255.32,1.53,85.08,2.0,5.0,3.0,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,chembl,chembl,chembl,,,,False,False,False,5340.0,,,202.5,"396.5 °F (Form I); 347 °F (Form II) (NTP, 1992)",,
SULFAMERAZINE,CHEMBL438,4.0,,264.31,1.17,97.97,2.0,5.0,3.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,chembl,chembl,chembl,SULFAMERAZINE,,,False,False,False,5325.0,,,236.0,236 °C,,
SULFADIAZINE,CHEMBL439,4.0,,250.28,0.86,97.97,2.0,5.0,3.0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,chembl,chembl,chembl,SULFADIAZINE SODIUM,,,False,False,False,5215.0,,,,,,
THIAMYLAL,CHEMBL440,4.0,,254.35,1.52,58.20,2.0,3.0,5.0,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,chembl,chembl,chembl,THIAMYLAL SODIUM,,,False,False,False,3032285.0,,,132.0,132-133 °C,,
THIOPENTAL,CHEMBL441,4.0,,242.34,1.35,58.20,2.0,3.0,4.0,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,chembl,chembl,chembl,THIOPENTAL SODIUM,,,False,False,False,3000715.0,,,,,,
CYCLOBARBITAL,CHEMBL268164,4.0,,236.27,1.25,75.27,2.0,3.0,2.0,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,5838.0,,,,,,
ERGOTAMINE,CHEMBL442,4.0,,581.67,1.99,118.21,3.0,6.0,4.0,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,chembl,chembl,chembl,ERGOTAMINE TARTRATE,,,False,False,False,8223.0,,,213.0,"213 °C, decomposes",,
TRETINOIN,CHEMBL38,4.0,,300.44,5.60,37.30,1.0,1.0,5.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,chembl,chembl,chembl,TRETINOIN,2028-02-03,,False,False,False,444795.0,,,178.88888888888889,"354 to 360 °F (NTP, 1992)",,
METHOHEXITAL,CHEMBL7413,4.0,,262.31,1.31,66.48,1.0,3.0,3.0,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,chembl,chembl,chembl,METHOHEXITAL SODIUM,,,False,False,False,9034.0,,,,,,
PHENOBARBITAL,CHEMBL40,4.0,,232.24,0.70,75.27,2.0,3.0,2.0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,PHENOBARBITAL SODIUM,2042-04-07,2029-11-17,False,False,False,4763.0,,,173.88888888888889,"345 to 352 °F (NTP, 1992)",,
FLUOXETINE,CHEMBL41,4.0,,309.33,4.44,21.26,1.0,2.0,6.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,chembl,chembl,chembl,FLUOXETINE HYDROCHLORIDE,,,False,False,False,3386.0,,,179.0,179 - 182 °C,395.1,395.1°C at 760 mmHg
SULFAMETHOXAZOLE,CHEMBL443,4.0,,253.28,1.37,98.22,2.0,5.0,3.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,chembl,chembl,chembl,SULFAMETHOXAZOLE,,,False,False,False,5329.0,,,167.22222222222223,"333 °F (NTP, 1992)",,
BARBITAL,CHEMBL444,4.0,,184.19,0.16,75.27,2.0,3.0,2.0,CCC1(CC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,,,,,,,
CLOZAPINE,CHEMBL42,4.0,,326.83,3.72,30.87,1.0,4.0,0.0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,chembl,chembl,chembl,CLOZAPINE,2028-05-01,,False,False,False,135398737.0,,,183.0,183-184 °C,,
NORTRIPTYLINE,CHEMBL445,4.0,,263.38,3.83,12.03,1.0,1.0,3.0,CNCCC=C1c2ccccc2CCc2ccccc21,chembl,chembl,chembl,NORTRIPTYLINE HYDROCHLORIDE,,,False,False,False,4543.0,,,213.0,213 - 215 °C,,
SULFAMETHAZINE,CHEMBL446,4.0,,278.34,1.48,97.97,2.0,5.0,3.0,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,chembl,chembl,chembl,,,,False,False,False,5327.0,,,197.22222222222223,"387 to 392 °F (NTP, 1992)",,
SECOBARBITAL,CHEMBL447,4.0,,238.29,1.35,75.27,2.0,3.0,5.0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,SECOBARBITAL SODIUM,,,False,False,False,5193.0,,,100.0,100 °C,,
PENTOBARBITAL,CHEMBL448,4.0,,226.28,1.18,75.27,2.0,3.0,4.0,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,PENTOBARBITAL SODIUM,,,False,False,False,4737.0,,,130.0,130 °C,,
QUINACRINE,CHEMBL7568,4.0,,399.97,5.97,37.39,1.0,4.0,9.0,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,chembl,chembl,chembl,,,,False,False,False,237.0,,,248.0,248-250 °C,,
AMOBARBITAL,CHEMBL267894,4.0,,226.28,1.18,75.27,2.0,3.0,4.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,2164.0,,,156.11111111111111,"313 to 316 °F (NTP, 1992)",,
HEXOBARBITAL,CHEMBL7728,4.0,,236.27,1.20,66.48,1.0,3.0,1.0,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,chembl,chembl,chembl,,,,False,False,False,3608.0,,,67.0,67.00 °C. @ 760.00 mm Hg,,
BUTABARBITAL,CHEMBL449,4.0,,212.25,0.79,75.27,2.0,3.0,3.0,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,BUTABARBITAL SODIUM,,,False,False,False,2479.0,,,165.0,165-168 °C,,
APROBARBITAL,CHEMBL7863,4.0,,210.23,0.57,75.27,2.0,3.0,3.0,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,chembl,chembl,chembl,,,,False,False,False,6464.0,,,140.0,140-141.5 °C,,
